split,candidate_id,slippage_points_per_leg,brokerage_multiplier,mean_pnl_per_expiry_stressed,median_pnl_per_expiry_stressed,win_rate_stressed,worst_pnl_stressed,stress_note
split_a,Q20p0_35p0_65p0_80p0,2.0,0.5,1767.2399254807783,2697.079374999991,0.41414141414141414,-40565.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,2.0,1.0,1727.2399254807783,2657.079374999991,0.40404040404040403,-40605.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,2.0,1.5,1687.2399254807783,2617.079374999991,0.40404040404040403,-40645.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,2.5,0.5,1583.2014639423166,2495.84325,0.40404040404040403,-40790.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,2.5,1.0,1543.2014639423166,2455.84325,0.40404040404040403,-40830.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,2.5,1.5,1503.2014639423166,2415.84325,0.3939393939393939,-40870.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,3.0,0.5,1399.1630024038552,2321.05325,0.3939393939393939,-41015.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,3.0,1.0,1359.1630024038552,2281.05325,0.3939393939393939,-41055.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p0_35p0_65p0_80p0,3.0,1.5,1319.1630024038552,2241.05325,0.3939393939393939,-41095.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,2.0,0.5,1843.861865909099,2984.4787499999816,0.4444444444444444,-40565.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,2.0,1.0,1803.861865909099,2944.4787499999816,0.43434343434343436,-40605.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,2.0,1.5,1763.861865909099,2904.4787499999816,0.43434343434343436,-40645.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,2.5,0.5,1660.3164113636444,2807.0065,0.43434343434343436,-40790.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,2.5,1.0,1620.3164113636444,2767.0065,0.43434343434343436,-40830.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,2.5,1.5,1580.3164113636444,2727.0065,0.42424242424242425,-40870.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,3.0,0.5,1476.7709568181897,2612.0065,0.41414141414141414,-41015.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,3.0,1.0,1436.7709568181897,2572.0065,0.41414141414141414,-41055.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q20p5_35p0_65p0_79p5,3.0,1.5,1396.7709568181897,2532.0065,0.41414141414141414,-41095.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,2.0,0.5,1770.350515350886,3873.838500000094,0.45454545454545453,-39286.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,2.0,1.0,1730.350515350886,3833.838500000094,0.45454545454545453,-39326.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,2.0,1.5,1690.350515350886,3793.838500000094,0.45454545454545453,-39366.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,2.5,0.5,1585.350515350886,3678.838500000094,0.45454545454545453,-39511.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,2.5,1.0,1545.350515350886,3638.838500000094,0.45454545454545453,-39551.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,2.5,1.5,1505.350515350886,3598.838500000094,0.45454545454545453,-39591.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,3.0,0.5,1400.350515350886,3483.838500000094,0.4444444444444444,-39736.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,3.0,1.0,1360.350515350886,3443.838500000094,0.4444444444444444,-39776.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_a,Q22p0_33p0_67p0_78p0,3.0,1.5,1320.350515350886,3403.838500000094,0.4444444444444444,-39816.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,2.0,0.5,1767.2399254807783,2697.079374999991,0.41414141414141414,-40565.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,2.0,1.0,1727.2399254807783,2657.079374999991,0.40404040404040403,-40605.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,2.0,1.5,1687.2399254807783,2617.079374999991,0.40404040404040403,-40645.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,2.5,0.5,1583.2014639423166,2495.84325,0.40404040404040403,-40790.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,2.5,1.0,1543.2014639423166,2455.84325,0.40404040404040403,-40830.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,2.5,1.5,1503.2014639423166,2415.84325,0.3939393939393939,-40870.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,3.0,0.5,1399.1630024038552,2321.05325,0.3939393939393939,-41015.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,3.0,1.0,1359.1630024038552,2281.05325,0.3939393939393939,-41055.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p0_35p0_65p0_80p0,3.0,1.5,1319.1630024038552,2241.05325,0.3939393939393939,-41095.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,2.0,0.5,1843.861865909099,2984.4787499999816,0.4444444444444444,-40565.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,2.0,1.0,1803.861865909099,2944.4787499999816,0.43434343434343436,-40605.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,2.0,1.5,1763.861865909099,2904.4787499999816,0.43434343434343436,-40645.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,2.5,0.5,1660.3164113636444,2807.0065,0.43434343434343436,-40790.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,2.5,1.0,1620.3164113636444,2767.0065,0.43434343434343436,-40830.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,2.5,1.5,1580.3164113636444,2727.0065,0.42424242424242425,-40870.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,3.0,0.5,1476.7709568181897,2612.0065,0.41414141414141414,-41015.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,3.0,1.0,1436.7709568181897,2572.0065,0.41414141414141414,-41055.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q20p5_35p0_65p0_79p5,3.0,1.5,1396.7709568181897,2532.0065,0.41414141414141414,-41095.60218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,2.0,0.5,1770.350515350886,3873.838500000094,0.45454545454545453,-39286.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,2.0,1.0,1730.350515350886,3833.838500000094,0.45454545454545453,-39326.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,2.0,1.5,1690.350515350886,3793.838500000094,0.45454545454545453,-39366.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,2.5,0.5,1585.350515350886,3678.838500000094,0.45454545454545453,-39511.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,2.5,1.0,1545.350515350886,3638.838500000094,0.45454545454545453,-39551.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,2.5,1.5,1505.350515350886,3598.838500000094,0.45454545454545453,-39591.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,3.0,0.5,1400.350515350886,3483.838500000094,0.4444444444444444,-39736.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,3.0,1.0,1360.350515350886,3443.838500000094,0.4444444444444444,-39776.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
split_b,Q22p0_33p0_67p0_78p0,3.0,1.5,1320.350515350886,3403.838500000094,0.4444444444444444,-39816.85218750011,Mechanical direct-entry-cost stress; not a full STT recomputation.
